model_name,sample_name,outcome_name,split_var,split_level,term,estimate,std_error,t_value,p_value,nobs
observed_renewal_status_fe,source_league_strict,z_weighted_rating_league_season,age_group,29_plus,post_observed_renewalTRUE,-0.05057266266762838,0.02459765212921659,-2.0559955235548357,0.03989864491034935,34710
bosman_fe,source_league_strict,z_mean_rating_league_season,position_group,keepers,BosmanTRUE,0.045109203370523966,0.04406212699798928,1.0237636365712093,0.30633924465245327,9521
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,keepers,expiry_bin_6m::0:6,0.12192626704207943,0.06126012950549631,1.9903037754946324,0.0469884932730586,9521
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,keepers,expiry_bin_6m::6:12,0.1653678152195551,0.06777402701748926,2.439988038144487,0.014961965113892996,9521
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,keepers,expiry_bin_6m::12:18,0.06989969968948806,0.055554214450274544,1.2582249678294681,0.20877577847782838,9521
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,keepers,expiry_bin_6m::18:24,0.07878794592694018,0.06003049251314639,1.3124654259614144,0.18984032932487074,9521
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,keepers,expiry_bin_6m::30:36,0.09772686522614377,0.05779143726704475,1.691026730734589,0.09132550650997463,9521
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,keepers,expiry_bin_6m::36:48,-0.013616250247361187,0.057092238143182296,-0.23849564652226163,0.8115741226654838,9521
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,keepers,expiry_bin_6m::48+,-0.01883107211080085,0.07929777547946275,-0.2374728924858414,0.8123670288034823,9521
observed_renewal_status_fe,source_league_strict,z_mean_rating_league_season,position_group,keepers,signed_new_contractTRUE,-0.013650241721266523,0.07089969125008472,-0.19252893038868082,0.8473898550139812,9521
observed_renewal_status_fe,source_league_strict,z_mean_rating_league_season,position_group,keepers,post_observed_renewalTRUE,-0.0747132834992711,0.05167946260464925,-1.4457055033801698,0.14875628869801766,9521
bosman_fe,source_league_strict,z_weighted_rating_league_season,position_group,keepers,BosmanTRUE,0.053156806833115154,0.04306737203305168,1.2342709648575823,0.21756142373774257,9520
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,keepers,expiry_bin_6m::0:6,0.1313184528054724,0.059816141649518574,2.195368159566496,0.028500610912944063,9520
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,keepers,expiry_bin_6m::6:12,0.16928003171921824,0.0658727160013432,2.569804951047813,0.01040399663715035,9520
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,keepers,expiry_bin_6m::12:18,0.07131548954406768,0.053969813983513394,1.3213958744762955,0.18684831905875532,9520
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,keepers,expiry_bin_6m::18:24,0.08347873051103306,0.05823045785007767,1.433592205748417,0.15218398022685312,9520
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,keepers,expiry_bin_6m::30:36,0.10318723543521252,0.05613828096392261,1.8380904021896578,0.0665189848057865,9520
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,keepers,expiry_bin_6m::36:48,-0.004088029566476998,0.05609497567296329,-0.0728769291266018,0.9419271471264036,9520
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,keepers,expiry_bin_6m::48+,-0.00462503825277942,0.0768877319044191,-0.06015313676476907,0.9520527156019023,9520
observed_renewal_status_fe,source_league_strict,z_weighted_rating_league_season,position_group,keepers,signed_new_contractTRUE,-0.010644102601109495,0.06899124553755752,-0.1542819312533653,0.8774367751692103,9520
observed_renewal_status_fe,source_league_strict,z_weighted_rating_league_season,position_group,keepers,post_observed_renewalTRUE,-0.07271211615277506,0.050426352438869296,-1.4419467725912218,0.1498135123938087,9520
bosman_fe,source_league_strict,z_mean_rating_league_season,position_group,defenders,BosmanTRUE,0.005896174877260451,0.01783413866452675,0.3306116986175689,0.7409702642429343,42029
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,defenders,expiry_bin_6m::0:6,0.02066456191196764,0.024317954044602515,0.8497656453361971,0.39555071601419933,42029
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,defenders,expiry_bin_6m::6:12,0.0012474476785381862,0.02640486994178595,0.04724309119069316,0.9623239046484335,42029
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,defenders,expiry_bin_6m::12:18,0.02906603922329086,0.020837446489098608,1.3948944866395772,0.16319282454074022,42029
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,defenders,expiry_bin_6m::18:24,0.008445267749102259,0.02418434188560129,0.34920395142653626,0.7269706529834642,42029
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,defenders,expiry_bin_6m::30:36,0.002513277464242216,0.022461489374736337,0.11189273437357347,0.9109189807314815,42029
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,defenders,expiry_bin_6m::36:48,-0.016944831625188384,0.024142089925519528,-0.7018792357026538,0.4828310192632286,42029
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,defenders,expiry_bin_6m::48+,-0.09117067662529015,0.03317927255440352,-2.7478202385479986,0.006049747744445763,42029
observed_renewal_status_fe,source_league_strict,z_mean_rating_league_season,position_group,defenders,signed_new_contractTRUE,-0.10023858159365188,0.02496154193447843,-4.015720737796095,6.131397486504179e-5,42029
observed_renewal_status_fe,source_league_strict,z_mean_rating_league_season,position_group,defenders,post_observed_renewalTRUE,-0.047963290657390814,0.02102256493838269,-2.2815146866222844,0.022616100453545715,42029
bosman_fe,source_league_strict,z_weighted_rating_league_season,position_group,defenders,BosmanTRUE,0.0057672901295776164,0.017686906443967934,0.32607681551595097,0.7443982099573483,42028
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,defenders,expiry_bin_6m::0:6,0.01992938051845415,0.023990382653348068,0.8307237448616865,0.40622263950430204,42028
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,defenders,expiry_bin_6m::6:12,0.0014502910015063899,0.026173863445943038,0.055409894091549776,0.9558171005543895,42028
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,defenders,expiry_bin_6m::12:18,0.027825450695350484,0.020412171582031173,1.363179345398273,0.1729697998916572,42028
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,defenders,expiry_bin_6m::18:24,0.008801962467865857,0.023885455274717606,0.3685072093719981,0.7125316229126032,42028
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,defenders,expiry_bin_6m::30:36,0.0053065190842063546,0.022320924313538038,0.23773742564002406,0.8121075766426482,42028
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,defenders,expiry_bin_6m::36:48,-0.010795764155936603,0.023738500963506413,-0.4547786809509627,0.6493147273056785,42028
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,defenders,expiry_bin_6m::48+,-0.08424881894281346,0.032089354159291796,-2.62544451734995,0.008715392477202027,42028
observed_renewal_status_fe,source_league_strict,z_weighted_rating_league_season,position_group,defenders,signed_new_contractTRUE,-0.09812986607333402,0.02477772645390868,-3.9604063857866203,7.727584459294198e-5,42028
observed_renewal_status_fe,source_league_strict,z_weighted_rating_league_season,position_group,defenders,post_observed_renewalTRUE,-0.04524472818944655,0.02058732275182083,-2.197698493139178,0.028077685027746723,42028
bosman_fe,source_league_strict,z_mean_rating_league_season,position_group,midfielders,BosmanTRUE,0.03597960609777522,0.019316635496929538,1.8626228208061562,0.06264559074610333,45660
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,midfielders,expiry_bin_6m::0:6,0.041569442378048445,0.02578407891072295,1.612213588159659,0.10705571527235849,45660
