term,estimate,std_error,t_value,p_value,months_to_expiry,outcome_name,spec_name,nobs,ci_lo,ci_hi
months_to_expiry::9,-26.107409155974153,3.2637578736314525,-7.99918687807729,1.4343319205547018e-15,9,Minutes_tm,player_month,220396,-32.5043745882918,-19.710443723656507
months_to_expiry::10,-29.58789674642931,3.521667928323935,-8.401671409294702,5.18860084440829e-17,10,Minutes_tm,player_month,220396,-36.49036588594422,-22.685427606914395
months_to_expiry::11,-60.96139522239757,3.32953117623182,-18.309303020670413,2.4272084982280733e-73,11,Minutes_tm,player_month,220396,-67.48727632781194,-54.4355141169832
months_to_expiry::12,-66.33228346495405,3.0632865499928306,-21.653959687548426,5.2987897549893645e-101,12,Minutes_tm,player_month,220396,-72.33632510294,-60.328241826968096
months_to_expiry::13,-50.20553894611251,3.0670521501206753,-16.369313754295682,3.109083410046077e-59,13,Minutes_tm,player_month,220396,-56.21696116034904,-44.19411673187599
months_to_expiry::14,-39.60350852281574,3.1735130232532525,-12.47939057839981,2.116260082047796e-35,14,Minutes_tm,player_month,220396,-45.82359404839211,-33.383422997239364
months_to_expiry::15,-37.02630097916703,2.8779662380632294,-12.865439659946963,1.7034058438202163e-37,15,Minutes_tm,player_month,220396,-42.667114805770964,-31.3854871525631
months_to_expiry::16,-33.55995446824959,2.9031422691735407,-11.55987249560572,1.1738665902658074e-30,16,Minutes_tm,player_month,220396,-39.250113315829736,-27.869795620669453
months_to_expiry::17,-30.510534473524448,2.8053251046460437,-10.875935349879548,2.3657884479818686e-27,17,Minutes_tm,player_month,220396,-36.008971678630694,-25.012097268418202
months_to_expiry::19,-24.603781192718746,2.4863289363214744,-9.89562597019848,5.949416884353275e-23,19,Minutes_tm,player_month,220396,-29.476985907908833,-19.730576477528658
months_to_expiry::20,-12.812113978288764,2.8843930858906965,-4.441875152509735,9.041772128991172e-6,20,Minutes_tm,player_month,220396,-18.46552442663453,-7.158703529942999
months_to_expiry::21,-24.119442388513942,2.935523285605419,-8.216403019790583,2.4379725873949576e-16,21,Minutes_tm,player_month,220396,-29.873068028300565,-18.36581674872732
months_to_expiry::22,-30.814240160333878,3.2263692604747893,-9.550748123542215,1.6909478329503574e-21,22,Minutes_tm,player_month,220396,-37.137923910864465,-24.49055640980329
months_to_expiry::23,-68.59528579741419,3.2288736025600198,-21.244339122791384,2.155699287594777e-97,23,Minutes_tm,player_month,220396,-74.92387805843182,-62.26669353639655
months_to_expiry::24,-37.38563057867095,2.6139942147568767,-14.302109150669304,8.115968288883122e-46,24,Minutes_tm,player_month,220396,-42.50905923959443,-32.26220191774747
months_to_expiry::0,0.09258024483823257,0.05673421684123714,1.6318237915807596,0.10275998877305205,0,z_rating,player_month,136642,-0.018618820170592215,0.20377930984705736
months_to_expiry::1,0.10549844310375456,0.029419954883199956,3.585948500689192,3.380630637193498e-4,1,z_rating,player_month,136642,0.04783533153268264,0.16316155467482646
months_to_expiry::2,0.1285001874272883,0.02804939220029529,4.5812111189323925,4.700099188280692e-6,2,z_rating,player_month,136642,0.07352337871470954,0.18347699613986707
months_to_expiry::3,0.06002363084367501,0.027382660486544762,2.192030641915504,0.02840894037049295,3,z_rating,player_month,136642,0.006353616290047277,0.11369364539730276
months_to_expiry::4,0.04981095691206827,0.025899262738738472,1.9232577164277425,0.05448676232942038,4,z_rating,player_month,136642,-9.515980558591347e-4,0.10057351187999568
months_to_expiry::5,0.04815518923452544,0.027461638589370577,1.7535439146433383,0.07955089022325933,5,z_rating,player_month,136642,-0.005669622400640888,0.10198000086969178
months_to_expiry::6,0.021999402130833567,0.02347760701723651,0.9370376680503387,0.34877035583384786,6,z_rating,player_month,136642,-0.02401670762294999,0.06801551188461713
months_to_expiry::7,0.05270896610123399,0.026414543908884404,1.995452440256051,0.04603086573344124,7,z_rating,player_month,136642,9.364600398205566e-4,0.10448147216264742
months_to_expiry::8,0.054694837973122135,0.02551853403369082,2.1433377756305014,0.03211912226255799,8,z_rating,player_month,136642,0.004678511267088126,0.10471116467915614
months_to_expiry::9,0.093684943577570845,0.02526684028320256,3.7078218933394993,2.1060774117065423e-4,9,z_rating,player_month,136642,0.044161936622493826,0.14320795053264787
months_to_expiry::10,0.08322432226478638,0.025197539912722194,3.3028749057667555,9.616202819394128e-4,10,z_rating,player_month,136642,0.03383714403585088,0.1326115004937219
months_to_expiry::11,0.024072104421145157,0.04284421771421187,0.5618518835310696,0.5742342856898719,11,z_rating,player_month,136642,-0.059902562298710105,0.10804677114100042
months_to_expiry::12,0.09734131381912259,0.049865965367444504,1.952059146992326,0.05096957686694531,12,z_rating,player_month,136642,-3.959783010686335e-4,0.1950786059393138
