term,estimate,std_error,t_value,p_value,months_to_expiry,outcome_name,variant,nobs,ci_lo,ci_hi
months_to_expiry::1,-0.04879695872821689,0.020384071604121045,-2.3938769288051174,0.01673093610931975,1,played_tm,24_28_at_spell_start,75417,-0.08874973907229414,-0.008844178384139645
months_to_expiry::2,-0.03895580502760384,0.01944740070176473,-2.0031368523233466,0.04525024060213021,2,played_tm,24_28_at_spell_start,75417,-0.07707271040306271,-8.388996521449671e-4
months_to_expiry::3,-0.045037005387513256,0.01929775390286858,-2.3337951978348412,0.01967058125361879,3,played_tm,24_28_at_spell_start,75417,-0.08286060303713566,-0.007213407737890844
months_to_expiry::4,-0.020449179859154988,0.018447373531681167,-1.1085144356206567,0.2677264285590042,4,played_tm,24_28_at_spell_start,75417,-0.056606031981250075,0.0157076722629401
months_to_expiry::5,-0.08457227487887527,0.018885038784463053,-4.4782685301368765,7.799071332228586e-6,5,played_tm,24_28_at_spell_start,75417,-0.12158695089642285,-0.04755759886132768
months_to_expiry::6,5.508492320504523e-4,0.01666535297743619,0.03305355924931602,0.9736340227656304,6,played_tm,24_28_at_spell_start,75417,-0.03211324260372447,0.03321494106782538
months_to_expiry::7,-0.04996042687510474,0.017572364019688962,-2.8431249670861907,0.004496842747065722,7,played_tm,24_28_at_spell_start,75417,-0.08440226035369511,-0.015518593396514374
months_to_expiry::8,-0.04230380118037036,0.01684723116263581,-2.5110239642341194,0.01208906788234024,8,played_tm,24_28_at_spell_start,75417,-0.07532437425913655,-0.009283228101604174
months_to_expiry::9,-0.046404007511565294,0.016670950351982673,-2.7835250259770867,0.005410045113134006,9,played_tm,24_28_at_spell_start,75417,-0.07907907020145133,-0.01372894482167926
months_to_expiry::10,-0.0295151567269652,0.015880031165371542,-1.858633425816368,0.06317462779245409,10,played_tm,24_28_at_spell_start,75417,-0.06064001781109342,0.0016097043571630214
months_to_expiry::11,-0.01082986453124022,0.016052142969060164,-0.6746678342022203,0.49993756086383134,11,played_tm,24_28_at_spell_start,75417,-0.04229206475059814,0.020632335688117703
months_to_expiry::12,-0.09820942150033064,0.014956324985163656,-6.5664139818940965,6.028487821667205e-11,12,played_tm,24_28_at_spell_start,75417,-0.1275238184712514,-0.06889502452940988
months_to_expiry::13,-0.04168976762159974,0.012739853111294984,-3.2723899763520934,0.0010782169390272348,13,played_tm,24_28_at_spell_start,75417,-0.06665987971973791,-0.01671965552346157
months_to_expiry::14,-0.02207319784119323,0.011979667520543693,-1.8425551296261222,0.06549023172607432,14,played_tm,24_28_at_spell_start,75417,-0.04555334618145887,0.001406950499072409
months_to_expiry::15,-0.0344614820233828,0.01160260787095502,-2.970149677267878,0.0029995822783825195,15,played_tm,24_28_at_spell_start,75417,-0.05720259345045464,-0.011720370596310956
months_to_expiry::16,-0.03256363725399504,0.011057868748843649,-2.9448384669424033,0.003255470262682798,16,played_tm,24_28_at_spell_start,75417,-0.05423706000172859,-0.01089021450626149
months_to_expiry::17,-0.04218310726333552,0.01141863806210059,-3.6942328002622973,2.24393015630662e-4,17,played_tm,24_28_at_spell_start,75417,-0.06456363786505268,-0.01980257666161836
months_to_expiry::19,-0.0392568520882852,0.010928265987438245,-3.5922306552027488,3.3299745447025117e-4,19,played_tm,24_28_at_spell_start,75417,-0.06067625342366416,-0.01783745075290624
months_to_expiry::20,-0.03703942716563982,0.010518705445892618,-3.521291413298688,4.356943345799498e-4,20,played_tm,24_28_at_spell_start,75417,-0.05765608983958935,-0.016422764491690292
months_to_expiry::21,-0.037063325947207924,0.011548393485442131,-3.2093923708029033,0.0013438456090012997,21,played_tm,24_28_at_spell_start,75417,-0.0596981771786745,-0.014428474715741348
months_to_expiry::22,-0.028436619697070915,0.012733462469457266,-2.2332197362091852,0.025606159496014056,22,played_tm,24_28_at_spell_start,75417,-0.053394206137207155,-0.0034790332569346744
months_to_expiry::23,-0.01318328474564417,0.014101587068520084,-0.9348795055185027,0.34992383135181193,23,played_tm,24_28_at_spell_start,75417,-0.040822395399943534,0.014455825908655196
months_to_expiry::24,-0.04117784557629887,0.013679172215019348,-3.010258583563028,0.00263147022073302,24,played_tm,24_28_at_spell_start,75417,-0.06798902311773679,-0.014366668034860947
months_to_expiry::0,-0.06929684984698681,0.03254526912136615,-2.1292449476625483,0.033387468206269484,0,played_tm,29plus_at_spell_start,37767,-0.13308557732486445,-0.005508122369109164
months_to_expiry::1,0.00861007956508768,0.029312908228125153,0.29372996695109493,0.7690026372871076,1,played_tm,29plus_at_spell_start,37767,-0.04884322056203762,0.06606337969221297
months_to_expiry::2,0.03827222414233814,0.027970945554663472,1.3682849608191805,0.1714164535485728,2,played_tm,29plus_at_spell_start,37767,-0.016550829144802263,0.09309527742947854
months_to_expiry::3,0.01639644292678278,0.02773329922128181,0.5912186211945739,0.5544580900380129,3,played_tm,29plus_at_spell_start,37767,-0.03796082354692956,0.07075370940049512
months_to_expiry::4,0.01916627530659749,0.027821029618453202,0.6889132274919414,0.49097851221308153,4,played_tm,29plus_at_spell_start,37767,-0.03536294274557078,0.07369549335876577
months_to_expiry::5,0.012756769125058125,0.02720365532816387,0.46893584597989946,0.6391798619258273,5,played_tm,29plus_at_spell_start,37767,-0.04056239531814306,0.0660759335682593
months_to_expiry::6,0.05780481451330846,0.022793537442914628,2.53601770493404,0.011307258616921596,6,played_tm,29plus_at_spell_start,37767,0.01312948112519579,0.10248014790142113
months_to_expiry::7,0.03351154334469867,0.02584814417963343,1.2964777320881502,0.19499931315156255,7,played_tm,29plus_at_spell_start,37767,-0.017150819247382848,0.08417390593678019
months_to_expiry::8,0.009254170140698409,0.025144768432299514,0.3680356081072927,0.7128957330367554,8,played_tm,29plus_at_spell_start,37767,-0.04002957598660863,0.058537916268005454
months_to_expiry::9,0.0023160758611223044,0.0245470811606828,0.09435239350705274,0.9248411347168748,9,played_tm,29plus_at_spell_start,37767,-0.04579620321381598,0.05042835493606059
months_to_expiry::10,0.016766758614177184,0.02532668923826377,0.6620193605426259,0.5080548693766189,10,played_tm,29plus_at_spell_start,37767,-0.032873552292819797,0.06640706952117417
months_to_expiry::11,0.01938247254317496,0.0250858024388848,0.7726471014987638,0.4398462407576398,11,played_tm,29plus_at_spell_start,37767,-0.029785700237039248,0.06855064532338917
months_to_expiry::12,-0.0638295021804721,0.023573072180090048,-2.707729467454941,0.0068471894112350825,12,played_tm,29plus_at_spell_start,37767,-0.1100327236534486,-0.017626280707495612
months_to_expiry::13,-0.053309181412178906,0.01901375736964396,-2.8037162974051952,0.0051131863116478824,13,played_tm,29plus_at_spell_start,37767,-0.09057614585668107,-0.016042216967676742
months_to_expiry::14,-0.018207886330843186,0.018197264788952023,-1.0005836889232722,0.3171805584479944,14,played_tm,29plus_at_spell_start,37767,-0.05387452531718915,0.017458752655502778
months_to_expiry::15,-0.03160573806769441,0.017754442198789102,-1.7801594504529126,0.07524103145772065,15,played_tm,29plus_at_spell_start,37767,-0.06640444477732105,0.003192968641932234
months_to_expiry::16,-0.02351440169271611,0.01743715664551723,-1.3485227076147894,0.1776826101343363,16,played_tm,29plus_at_spell_start,37767,-0.05769122871792988,0.010662425332497658
months_to_expiry::17,-0.019635033860713868,0.019241798269409718,-1.0204365301931946,0.3076769073576987,17,played_tm,29plus_at_spell_start,37767,-0.057348958468756914,0.01807889074732918
months_to_expiry::19,-0.0042352572936206565,0.01804158504015945,-0.23474973424969237,0.8144332479935344,19,played_tm,29plus_at_spell_start,37767,-0.03959676397233318,0.03112624938509187
months_to_expiry::20,-0.028937314073143434,0.01879681092924553,-1.5394799778573358,0.12388638845207033,20,played_tm,29plus_at_spell_start,37767,-0.06577906349446466,0.0079044353481778
months_to_expiry::21,-0.027717981502480667,0.018631451569678107,-1.48769844361405,0.13702897090586105,21,played_tm,29plus_at_spell_start,37767,-0.06423562657904976,0.008799663574088418
months_to_expiry::22,-0.018015041924225365,0.020856857314048318,-0.8637467118352091,0.3878574863286173,22,played_tm,29plus_at_spell_start,37767,-0.058894482259760066,0.022864398411309335
months_to_expiry::23,-0.01713884692847202,0.025251978840864053,-0.6787130242932509,0.4974186089729875,23,played_tm,29plus_at_spell_start,37767,-0.06663272545656557,0.032355031599621525
months_to_expiry::24,-0.06658846078303808,0.025959835309380536,-2.5650571349725193,0.010407044429550677,24,played_tm,29plus_at_spell_start,37767,-0.11746973798942392,-0.015707183576652232
