model_name,sample_name,outcome_name,spec_name,term,estimate,std_error,t_value,p_value,nobs,mde_80pct
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,spell_month,expiry_bin_6m::30:36,-0.007494958894443895,0.02349665010469111,-0.31897989122064363,0.7497554359027125,48694,0.06579062029313511
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,spell_month,expiry_bin_6m::36:48,-0.06519124474230889,0.04690628621708855,-1.3898189347286016,0.164647366681812,48694,0.13133760140784792
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,spell_month,expiry_bin_6m::48+,-0.120836701734588,0.08532115534344893,-1.4162572136790224,0.15676413955184157,48694,0.238899234961657
bosman,source_league_strict,z_mean_rating_league_season,spell_leaguemonth,BosmanTRUE,-0.01948259537763827,0.027163628155860688,-0.717230970246322,0.4732659766111371,48694,0.07605815883640991
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,spell_leaguemonth,expiry_bin_6m::0:6,-0.17721287353808493,0.10798441619958837,-1.6410967413162756,0.10084188272473593,48694,0.3023563653588474
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,spell_leaguemonth,expiry_bin_6m::6:12,-0.16943625613499216,0.10396644530420608,-1.629720585706487,0.10322521037514172,48694,0.291106046851777
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,spell_leaguemonth,expiry_bin_6m::12:18,-0.08063368948829586,0.05681254295729092,-1.419293791318452,0.15587735554413867,48694,0.15907512028041457
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,spell_leaguemonth,expiry_bin_6m::18:24,-0.06139478856862577,0.054684021871058364,-1.122718967404976,0.2616121934102603,48694,0.1531152612389634
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,spell_leaguemonth,expiry_bin_6m::30:36,-0.023170946059948613,0.02491213493410737,-0.930106798202394,0.35236187340542424,48694,0.06975397781550063
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,spell_leaguemonth,expiry_bin_6m::36:48,0.06089257659790771,0.05725050605973495,1.063616390296579,0.2875552277207722,48694,0.16030141696725786
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,spell_leaguemonth,expiry_bin_6m::48+,0.09686982346684044,0.10744028940998789,0.9016154368049869,0.36730575645600283,48694,0.30083281034796605
bosman,source_league_strict,z_weighted_rating_league_season,spell_leaguemonth,BosmanTRUE,-9.489259210706821e-4,0.02511522428589774,-0.03778289655185386,0.9698623291932033,48694,0.07032262800051367
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,spell_leaguemonth,expiry_bin_6m::0:6,-0.05150931274589951,0.0948741236974965,-0.5429226720463372,0.5872078810336894,48694,0.26564754635299015
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,spell_leaguemonth,expiry_bin_6m::6:12,-0.06844070624459081,0.09180370735174789,-0.7455113548122709,0.45599861372846007,48694,0.2570503805848941
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,spell_leaguemonth,expiry_bin_6m::12:18,-0.013426989807610158,0.049867991617315616,-0.2692506630435046,0.7877481975077935,48694,0.1396303765284837
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,spell_leaguemonth,expiry_bin_6m::18:24,-0.012558142336700148,0.04849050666444895,-0.2589814625696046,0.7956604844417415,48694,0.13577341866045706
