sample_name,rating_variable,Month,n_rows,n_players,mean,median,sd
source_league_strict,fotmob_minutes_weighted_rating,2023-08-01,2623,2623,6.9283729233518985,6.91761363636364,0.6256401069151785
source_league_strict,fotmob_minutes_weighted_rating,2023-09-01,3086,3086,6.89831019638423,6.906679790026249,0.5774945021104453
source_league_strict,fotmob_minutes_weighted_rating,2023-10-01,3064,3064,6.9181397872038,6.921785916713899,0.5953697764830125
source_league_strict,fotmob_minutes_weighted_rating,2023-11-01,2964,2964,6.912683745650976,6.9,0.5961842742072159
source_league_strict,fotmob_minutes_weighted_rating,2023-12-01,3035,3035,6.913569116417081,6.91666666666667,0.566271039615461
source_league_strict,fotmob_minutes_weighted_rating,2024-01-01,2494,2494,6.891263616177874,6.9,0.6117328227419787
source_league_strict,fotmob_minutes_weighted_rating,2024-02-01,2928,2928,6.8876799406761995,6.9,0.5730484601289796
source_league_strict,fotmob_minutes_weighted_rating,2024-03-01,2906,2906,6.8863375899679475,6.89872741555381,0.5577715551165898
source_league_strict,fotmob_minutes_weighted_rating,2024-04-01,3277,3277,6.872070580375055,6.86095238095238,0.5508866434922269
source_league_strict,fotmob_minutes_weighted_rating,2024-05-01,3173,3173,6.863587272051058,6.86,0.6374709513047405
source_league_strict,fotmob_minutes_weighted_rating,2024-06-01,547,547,6.883140157114306,6.89787234042553,0.582654013333527
source_league_strict,fotmob_minutes_weighted_rating,2024-07-01,803,803,6.875026779989807,6.867258382643,0.6011101015656813
source_league_strict,fotmob_minutes_weighted_rating,2024-08-01,3219,3219,6.865088989601792,6.86404494382022,0.5817072518048024
source_league_strict,fotmob_minutes_weighted_rating,2024-09-01,3718,3718,6.839315810980354,6.85,0.5753653515693552
source_league_strict,fotmob_minutes_weighted_rating,2024-10-01,3740,3740,6.866928269368939,6.86666666666667,0.6007851306486206
source_league_strict,fotmob_minutes_weighted_rating,2024-11-01,3783,3783,6.8623149555438525,6.844140625,0.5667721623880374
source_league_strict,fotmob_minutes_weighted_rating,2024-12-01,3622,3622,6.866720996847741,6.87054591620821,0.6011161012646481
source_league_strict,fotmob_minutes_weighted_rating,2025-01-01,3218,3218,6.873835655063457,6.880947580645159,0.60480010874556
source_league_strict,fotmob_minutes_weighted_rating,2025-02-01,3566,3566,6.861753068461239,6.86666666666667,0.5751824980055995
source_league_strict,fotmob_minutes_weighted_rating,2025-03-01,3542,3542,6.866902030274843,6.83333333333333,0.6655985832844541
source_league_strict,fotmob_minutes_weighted_rating,2025-04-01,4000,4000,6.797879448176376,6.83333333333333,0.6467489459499518
source_league_strict,fotmob_minutes_weighted_rating,2025-05-01,3898,3898,6.824783234825542,6.842653007960325,0.66647457057594806
source_league_strict,fotmob_minutes_weighted_rating,2025-06-01,515,515,6.872506739407077,6.85,0.7721267904984386
source_league_strict,fotmob_minutes_weighted_rating,2025-07-01,696,696,6.861595363126075,6.895351881520845,0.7630029810827409
source_league_strict,fotmob_minutes_weighted_rating,2025-08-01,3613,3613,6.786981601479899,6.80769230769231,0.6977166053217825
source_league_strict,fotmob_minutes_weighted_rating,2025-09-01,4044,4044,6.756590595147404,6.8,0.7085763302818443
source_league_strict,fotmob_minutes_weighted_rating,2025-10-01,4188,4188,6.776110024496932,6.81338940981798,0.6951182894608287
source_league_strict,fotmob_minutes_weighted_rating,2025-11-01,4202,4202,6.756770658826559,6.81690759085091,0.7194772659424059
source_league_strict,fotmob_minutes_weighted_rating,2025-12-01,3881,3881,6.765019177251689,6.80238805970149,0.7206855555889443
source_league_strict,fotmob_minutes_weighted_rating,2026-01-01,3996,3996,6.772898027555389,6.812474259464595,0.7068916484861232
source_league_strict,fotmob_minutes_weighted_rating,2026-02-01,4487,4487,6.75434138390954,6.80705882352941,0.6917273577936137
source_league_strict,fotmob_minutes_weighted_rating,2026-03-01,4479,4479,6.786233776560249,6.83333333333333,0.6977627847406783
source_league_strict,fotmob_minutes_weighted_rating,2026-04-01,4676,4676,6.843016203904116,6.836259920634925,0.5697669066407567
source_league_strict,fotmob_minutes_weighted_rating,2026-05-01,4491,4491,6.840943071407476,6.825,0.6041136996786866
source_league_strict,fotmob_minutes_weighted_rating,2026-06-01,79,79,6.822781957093929,6.80487106017192,0.5756628322552381
