tm_player_id,player_name_tm,fotmob_player_id,fotmob_player_name,date_of_birth,fotmob_dob,dob_status,merge_safe,review_flag
317057,Adrian Semper,747079,Adrian Semper,1998-01-12,1998-01-12,verified,TRUE,review
1150261,Adrian Skogmar,1504551,Adrian Skogmar,2005-11-23,2005-11-23,verified,TRUE,needs_manual_team_check
660545,Adrian Zeljkovic,1439757,Adrian Zeljkovic,2002-08-19,2002-08-19,verified,TRUE,auto_keep_candidate
69392,Adriano Grimaldi,184556,Adriano Grimaldi,1991-04-05,1991-04-05,verified,TRUE,ambiguous_top_match
739272,Adriano Martins,1336899,Adriano Martins,1997-04-01,1997-04-01,verified,TRUE,review
806015,Adriano Onyegbule,1383307,Adriano Onyegbule,2006-06-23,2006-06-23,verified,TRUE,auto_keep_candidate
808445,Adriel,1789715,Adriel,2001-01-14,2006-07-12,mismatch,FALSE,dob_mismatch
1127847,Adriel Moraes,1727378,Adriel Moraes,2005-12-06,2005-12-06,verified,TRUE,review
203507,Adrien Hunou,447107,Adrien Hunou,1994-01-19,1994-01-19,verified,TRUE,ambiguous_top_match
281611,Adrien Monfray,465719,Adrien Monfray,1990-12-20,1990-12-20,verified,TRUE,auto_keep_candidate
182913,Adrien Rabiot,352879,Adrien Rabiot,1995-04-03,1995-04-03,verified,TRUE,auto_keep_candidate
126796,Adrien Regattin,188413,Adrien Regattin,1991-08-22,1991-08-22,verified,TRUE,ambiguous_top_match
215977,Adrien Thomasson,317062,Adrien Thomasson,1993-12-10,1993-12-10,verified,TRUE,auto_keep_candidate
654539,Adrien Truffert,1177358,Adrien Truffert,2001-11-20,2001-11-20,verified,TRUE,auto_keep_candidate
626301,Adrion Pajaziti,1130562,Adrion Pajaziti,2002-11-16,2002-11-16,verified,TRUE,auto_keep_candidate
868891,Adson,1255479,Adson,2000-10-06,2000-10-06,verified,TRUE,auto_keep_candidate
895480,Adu Ares,1331037,Adu Ares,2001-10-12,2001-10-12,verified,TRUE,ambiguous_top_match
318829,Advan Kadusic,782400,Advan Kadusic,1997-10-14,1997-10-14,verified,TRUE,auto_keep_candidate
562409,Afeez Aremu,859569,Afeez Aremu,1999-10-03,1999-10-03,verified,TRUE,auto_keep_candidate
410649,Afimico Pululu,861736,Afimico Pululu,1999-03-23,1999-03-23,verified,TRUE,auto_keep_candidate
1365020,Afonso Assis,1705704,Afonso Assis,2006-07-15,2006-07-15,verified,TRUE,auto_keep_candidate
952282,Afonso Moreira,1367047,Afonso Moreira,2005-03-19,2005-03-19,verified,TRUE,auto_keep_candidate
375378,Afonso Sousa,1083349,Afonso Sousa,2000-05-03,2000-05-03,verified,TRUE,auto_keep_candidate
978150,Ageu,1437937,Ageu,2002-02-20,2002-02-20,verified,TRUE,ambiguous_top_match
1094614,Agner,1532202,Agner,2005-03-22,2005-03-22,verified,TRUE,ambiguous_top_match
1015815,Agon Rexhaj,1692874,Agon Rexhaj,2007-03-24,2007-03-24,verified,TRUE,review
543529,Aguibou Camara,1120749,Aguibou Camara,2001-05-20,2001-05-20,verified,TRUE,auto_keep_candidate
1159156,Ahmad Abu Rasen,1520117,Ahmad Abu Rasen,2003-11-02,2003-11-02,verified,TRUE,auto_keep_candidate
121402,Ahmad Benali,287898,Ahmad Benali,1992-02-07,1992-02-07,verified,TRUE,ambiguous_top_match
950400,Ahmad Faqa,1308893,Ahmad Faqa,2003-01-10,,no_fotmob_dob,TRUE,auto_keep_candidate
1015619,Ahmed Abdullahi,1439393,Ahmed Abdullahi,2004-06-19,2004-06-19,verified,TRUE,auto_keep_candidate
1305904,Ahmed Al-Daghrir,1673674,Ahmed Al Daghrir,2007-08-13,2007-08-13,verified,TRUE,needs_manual_team_check
1060901,Ahmed Al-Julaydan,1459705,Ahmed Al-Julaydan,2004-03-08,2004-03-08,verified,TRUE,auto_keep_candidate
901257,Ahmed Al-Nakhli,1176722,Ahmed Al-Nakhli,2002-03-15,2002-03-15,verified,TRUE,needs_manual_team_check
209499,Ahmed Asiri,264102,Ahmed Asiri,1991-11-14,1991-11-14,verified,TRUE,ambiguous_top_match
514927,Ahmed Bamsaud,866401,Ahmed Bamsaud,1995-11-22,1995-11-22,verified,TRUE,auto_keep_candidate
111524,Ahmed Hegazy,297556,Ahmed Hegazy,1991-01-25,1991-01-25,verified,TRUE,ambiguous_top_match
